0,File name,Date,District,Street name,Type,Flow rate (L/min),Secondary purpose?,Year fountain was constructed (if stated),Entry made by:
1,NM_1.JPG,10/01/2023,Nork-Marash,Sero Khanzadyan,with valve,-,  No secondary purpose,Unknown,Alla Basentsyan
2,AJ_42.JPG,10/30/2023,Ajapnyak,Silikian,no valve,1.4, memorial,Unknown,Karo Kishishian
3,AJ_87.JPG,10/30/2023,Ajapnyak,kvartal upper garden,no valve,2.4, memorial,unknown,Karo Kishishian
4,AJ_25.JPG,10/15/2023,Ajapnyak,Halabyan,with valve,,"""For our heros"" inscription ",Unknown,Karo Kishishian
5,AJ_6.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,no valve,4.2,Artistic memorial,2021,Greg
6,AJ_6.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,no valve,4.2,Artistic memorial,2021,Greg
7,AJ_19.JPG,10/15/2023,Ajapnyak,Tumo dog park,with a broken valve,1.5,dog pulpulak,Unknown,Karo Kishishian
8,SG_107JPG,11/1/2023,Shengavit,Bagratunyanc Avenue,no valve,0.75,filling local pool,unknown,Tamara Manukyan 
9,SG_67JPG,11/1/2023,Shengavit,Chekhov Street 1,no valve,0.68,filling local pool,unknown,Tamara Manukyan 
10,KN_83.JPG,10/29/2023,Kentron,Ghazar Parpetsi Street,no valve,3.4,Gardening,2020,Lilit Ivanyan
11,KN_86.JPG,10/29/2023,Kentron,Pushkin Street,no valve,2.8,Gardening,Unknown,Lilit Ivanyan
12,AJ_8.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,with a broken valve,1.8,Irrigates nearby garden,,Greg
13,AJ_8.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,with a broken valve,1.8,Irrigates nearby garden,Unknown,Greg
14,AJ_33.JPG,10/30/2023,Ajapnyak,Bashinjaghyan 1st Back Str.,valve,Depends how much you open the valve,Irrigates nearby plants,Unknown,Greg Akopyan
15,AJ_44.JPG,10/30/2023,Ajapnyak,silikian 3rd street,no valve,2.017,Irrigates nearby plants,Unknown,Karo Kishishian
16,AJ_59.JPG,10/30/2023,Ajapnyak,lukashin street,no valve,2.4,Irrigates nearby plants,unknown ,Karo Kishishian
17,AJ_60.JPG,10/30/2023,Ajapnyak,lukashin street,no valve,1.79,Irrigates nearby plants,unknown ,Karo Kishishian
18,AJ_61.JPG,10/30/2023,Ajapnyak,grigor zohrab street,no valve,2,Irrigates nearby plants,unknown ,Karo Kishishian
19,AJ_64.JPG,10/30/2023,Ajapnyak,grigor hasratyan street,no valve,3.4,Irrigates nearby plants,1992,Karo Kishishian
20,AJ_78.JPG,10/30/2023,Ajapnyak,margaryan street,no valve,3,Irrigates nearby plants,unknown,Karo Kishishian
21,AJ_81.JPG,10/30/2023,Ajapnyak,margaryan street,no valve,4,Irrigates nearby plants,unknown,Karo Kishishian
22,AJ_84.JPG,10/30/2023,Ajapnyak,margaryan street,no valve,6,Irrigates nearby plants,unknown,Karo Kishishian
23,AJ_89.JPG,10/30/2023,Ajapnyak,kvartal upper garden,no valve,4.3,irrigates nearby plants,unknown,Karo Kishishian
24,ER_128.JPG,10/26/23,Erebuni,Sasuntsi Davit Street,no valve,2.72,Irrigation,Unknown,Hrayr Muradyan
