File.name,Date,District,Street.name,Type,Flow.rate..L.min.,Secondary.purpose.,Year.fountain.was.constructed..if.stated.,Entry.made.by.
KN_83.JPG,10/29/2023,Kentron,Ghazar Parpetsi Street,no valve,3.4,Gardening,2020,Lilit Ivanyan
KN_86.JPG,10/29/2023,Kentron,Pushkin Street,no valve,2.8,Gardening,Unknown,Lilit Ivanyan
KN_38.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,3.75,Memorial fountain,Unknown,Hrach Khachatryan
KN_1.JPG,10/2/2023,Kentron,Marshal Baghramyan Street,no valve,2.36,No secondary purpose,Uknown,Lilit Ivanyan
KN_10.JPG,10/2/2023,Kentron,Mesrop Mashtots Avenue,no valve,6.7,No secondary purpose,Unknown,Lilit Ivanyan
KN_100.JPG,10/29/23,Kentron,Sayat Nova Ave.,no valve,3,no secondary purpose,Unknown,Hrach Khachatryan
KN_101.JPG,10/29/23,Kentron,Sayat Nova Ave.,no valve,3,no secondary purpose,Unknown,Hrach Khachatryan
KN_102.JPG,10/29/23,Kentron,Sayat Nova Ave.,with a broken valve,2.14,no secondary purpose,Unknown,Hrach Khachatryan
KN_103.JPG,10/29/23,Kentron,Sayat Nova Ave.,no valve,2.5,no secondary purpose,Unknown,Hrach Khachatryan
KN_106.JPG,10/29/23,Kentron,Hanrapetutyan Str.,no valve,3,no secondary purpose,Unknown,Hrach Khachatryan
KN_11.jpg,10/8/2023,Kentron,Koghbatsi street,no valve,4.6,No secondary purpose,Unknown,Adam Simonyan
KN_12.jpg,10/8/2023,Kentron,Pushkin street,no valve,4,No secondary purpose,Unknown,Adam Simonyan
KN_13.jpg,10/8/2023,Kentron,Nalbandyan street,no valve,3.17,No secondary purpose,Unknown,Adam Simonyan
KN_14.jpg,10/8/2023,Kentron,Hanrapetutyan street,no valve,4.28,No secondary purpose,Unknown,Adam Simonyan
KN_18.jpg,10/8/2023,Kentron,Hanrapetutyan street,no valve,2.38,No secondary purpose,Unknown,Adam Simonyan
KN_19.jpg,10/8/2023,Kentron,Hanrapetutyan street,no valve,2.14,No secondary purpose,Unknown,Adam Simonyan
KN_20.JPG,10/8/2023,Kentron,Sayat-Nova Street,no valve,3.22,No secondary purpose,Unknown,Lilit Ivanyan
KN_21.JPG,10/8/2023,Kentron,Abovyan Street,no valve,12,No secondary purpose,Unknown,Lilit Ivanyan
KN_22.JPG,10/8/2023,Kentron,Abovyan Street,no valve,2.11,No secondary purpose,Unknown,Lilit Ivanyan
KN_23.JPG,10/8/2023,Kentron,Vazgen Sargsyan Street,no valve,3.75,No secondary purpose,Unknown,Lilit Ivanyan
KN_24.JPG,10/8/2023,Kentron,Children's park,with a broken valve,3.85,No secondary purpose,Unknown,Lilit Ivanyan
KN_25.JPG,10/8/2023,Kentron,Children's park,with a broken valve,2.44,No secondary purpose,Unknown,Lilit Ivanyan
KN_26.JPG,10/8/2023,Kentron,Yerevan 2800th Anniversary Park,no valve,3.66,No secondary purpose,Unknown,Lilit Ivanyan
KN_27.JPG,10/8/2023,Kentron,Yerevan 2800th Anniversary Park,no valve,11.55,No secondary purpose,Unknown,Lilit Ivanyan
KN_28.JPG,10/8/2023,Kentron,Yerevan 2800th Anniversary Park,no valve,11.55,No secondary purpose,Unknown,Lilit Ivanyan
KN_29.JPG,10/8/2023,Kentron,English Park,no valve,3.16,No secondary purpose,Unknown,Lilit Ivanyan
KN_3.JPG,10/2/2023,Kentron,Antarayin Street,no valve,1.69,No secondary purpose,Unknown,Lilit Ivanyan
KN_32.JPG,10/8/2023,Kentron,Movses Khorenatsi Street,no valve,6.25,No secondary purpose,Unknown,Lilit Ivanyan
KN_34.JPG,10/8/2023,Kentron,Yeznik Koghbatsi Street,no valve,3.06,No secondary purpose,Unknown,Lilit Ivanyan
KN_35.JPG,10/8/2023,Kentron,Yeznik Koghbatsi Street,no valve,2.13,No secondary purpose,Unknown,Lilit Ivanyan
KN_36.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,2.14,No secondary purpose,Unknown,Hrach Khachatryan
KN_37.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,8.5,No secondary purpose,Unknown,Hrach Khachatryan
KN_39.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue (by Opera),with a broken valve,1.67,No secondary purpose,Unknown,Hrach Khachatryan
KN_4.JPG,10/2/2023,Kentron,Antarayin Street,no valve,4,No secondary purpose,Unknown,Lilit Ivanyan
KN_40.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,3,No secondary purpose,Unknown,Hrach Khachatryan
KN_41.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,2.14,No secondary purpose,Unknown,Hrach Khachatryan
KN_44.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,3.33,No secondary purpose,Unknown,Hrach Khachatryan
KN_45.JPG,10/15/2023,Kentron,Proshyan Street,no valve,4.6,No secondary purpose,Unknown,Lilit Ivanyan
KN_47.JPG,10/15/2023,Kentron,Amiryan Street,no valve,1.94,No secondary purpose,Unknown,Lilit Ivanyan
KN_49.JPG,10/15/2023,Kentron,Khoren Abrahamyan Street,with a broken valve,2.67,No secondary purpose,Unknown,Lilit Ivanyan
KN_51.JPG,10/15/2023,Kentron,Khoren Abrahamyan Street,no valve,3.11,No secondary purpose,Unknown,Lilit Ivanyan
KN_53.JPG,10/15/2023,Kentron,Martiros Saryan Street,with a broken valve,2.76,No secondary purpose,Unknown,Lilit Ivanyan
KN_54.JPG,10/24/2023,Kentron,Lunapark,no valve,4,No secondary purpose,Unknown,Lilit Ivanyan
KN_55.JPG,10/24/2023,Kentron,Kor Street,no valve,2.26,No secondary purpose,Unknown,Lilit Ivanyan
KN_56.JPG,10/24/2023,Kentron,Kor Street,no valve,4.48,No secondary purpose,Unknown,Lilit Ivanyan
KN_57.JPG,10/24/2023,Kentron,Tigran Mets Avenue,no valve,3.85,No secondary purpose,Unknown,Lilit Ivanyan
KN_58.JPG,10/24/2023,Kentron,Skate park,no valve,2.88,No secondary purpose,Unknown,Lilit Ivanyan
KN_59.JPG,10/24/2023,Kentron,Mesrop Mashtots Avenue,no valve,1.3,No secondary purpose,Unknown,Lilit Ivanyan
KN_6.JPG,10/2/2023,Kentron,Martiros Saryan Street,no valve,1.37,No secondary purpose,Unknown,Lilit Ivanyan
KN_60.JPG,10/24/2023,Kentron,Abovyan Street,no valve,3.85,No secondary purpose,Unknown,Lilit Ivanyan
KN_61.JPG,10/24/2023,Kentron,Koryun Street,no valve,4.77,No secondary purpose,Unknown,Lilit Ivanyan
KN_63.JPG,10/24/2023,Kentron,Aleq Manukyan Street,no valve,2.88,No secondary purpose,Unknown,Lilit Ivanyan
KN_64.JPG,10/24/2023,Kentron,Aleq Manukyan Street,no valve,6.3,No secondary purpose,Unknown,Lilit Ivanyan
KN_65.JPG,10/24/2023,Kentron,Aleq Manukyan Street,no valve,6.3,No secondary purpose,Unknown,Lilit Ivanyan
KN_66.JPG,10/24/2023,Kentron,Aleq Manukyan Street,no valve,5.5,No secondary purpose,Unknown,Lilit Ivanyan
KN_67.jpg,10/28/2023,Kentron,Ervand Kochar Street,no valve,4.4,No secondary purpose,Unknown,Adam Simonyan 
KN_68.jpg,10/28/2023,Kentron,Ervand Kochar Street,no valve,4.4,No secondary purpose,Unknown,Adam Simonyan 
KN_69.jpg,10/28/2023,Kentron,Ervand Kochar Street,no valve,3.6,No secondary purpose,Unknown,Adam Simonyan 
KN_7.JPG,10/2/2023,Kentron,Martiros Saryan Street,no valve,4.2,No secondary purpose,Unknown,Lilit Ivanyan
KN_70.jpg,10/28/2023,Kentron,Ervand Kochar Street,no valve,4.4,No secondary purpose,Unknown,Adam Simonyan 
KN_71.jpg,10/28/2023,Kentron,Ervand Kochar Street,no valve,3.1,No secondary purpose,2020,Adam Simonyan 
KN_72.jpg,10/28/2023,Kentron,Ervand Kochar Street,no valve,4.2,No secondary purpose,1992,Adam Simonyan 
KN_73.jpg,10/28/2023,Kentron,Mashtots Avenue,no valve,4.8,No secondary purpose,Unknown,Adam Simonyan 
KN_74.jpg,10/28/2023,Kentron,Northern Avenue,no valve,22.4,No secondary purpose,Unknown,Adam Simonyan 
KN_75.jpg,10/28/2023,Kentron,Tumanyan Street,no valve,5.3,No secondary purpose,Unknown,Adam Simonyan 
KN_76.jpg,10/28/2023,Kentron,Frik Street,no valve,4.9,No secondary purpose,Unknown,Adam Simonyan 
KN_77.jpg,10/28/2023,Kentron,Paronyan Street,no valve,4.1,No secondary purpose,Unknown,Adam Simonyan 
KN_78.jpg,10/28/2023,Kentron,Tsitsernakaberd,no valve,2.4,No secondary purpose,Unknown,Adam Simonyan 
KN_79.JPG,10/29/2023,Kentron,Rafayel Lemkin street,no valve,3.44,No secondary purpose,Unknown,Lilit Ivanyan
KN_8.JPG,10/2/2023,Kentron,Karen Demirchyan Street,no valve,3.125,No secondary purpose,Unknown,Lilit Ivanyan
KN_80.JPG,10/29/2023,Kentron,Alexander Spendiaryan Street,no valve,4.6,No secondary purpose,Unknown,Lilit Ivanyan
KN_81.JPG,10/29/2023,Kentron,Moskovyan Street,no valve,4.34,No secondary purpose,Unknown,Lilit Ivanyan
KN_84.JPG,10/29/2023,Kentron,Saint Anania church,with a broken valve,3.4,No secondary purpose,Unknown,Lilit Ivanyan
KN_89.JPG,10/29/2023,Kentron,Mesrop Mashtots Avenue,no valve,3.05,No secondary purpose,Unknown,Lilit Ivanyan
KN_9.JPG,10/2/2023,Kentron,Karen Demirchyan Street,no valve,3.125,No secondary purpose,Unknown,Lilit Ivanyan
KN_91.JPG,10/29/2023,Kentron,Yeznik Koghbatsi Street,no valve,4.5,No secondary purpose,Unknown,Lilit Ivanyan
KN_92.JPG,10/29/2023,Kentron,Hin Yerevantsu Street,no valve,6.2,No secondary purpose,Unknown,Lilit Ivanyan
KN_93.JPG,10/29/2023,Kentron,Abovyan Street,no valve,4.5,No secondary purpose,Unknown,Lilit Ivanyan
KN_94.JPG,10/29/2023,Kentron,Republic Square,no valve,11.2,No secondary purpose,Unknown,Lilit Ivanyan
KN_95.JPG,10/29/2023,Kentron,Tumanyan Street,no valve,3.24,No secondary purpose,Unknown,Lilit Ivanyan
KN_96.JPG,10/29/2023,Kentron,Sayat-Nova Avenue,no valve,3.6,No secondary purpose,Unknown,Lilit Ivanyan
KN_97.JPG,10/29/2023,Kentron,Abovyan Street,no valve,4.2,No secondary purpose,Unknown,Lilit Ivanyan
KN_99.JPG,10/29/23,Kentron,Moskovyan str.,no valve,1.07,no secondary purpose,Unknown,Hrach Khachatryan
KN_5.JPG,10/2/2023,Kentron,Moskovyan Street,no valve,2.14,No secondary purpose ,Unknown,Lilit Ivanyan
