"Timestamp","What is your opinion about pulpulaks' water quality?  

Ձեր կարծիքը պուլպուլակների ջրի որակի մասին","Armenian pulpulaks together lose 240 million cubic meters of water annually. What do you think about the quantity of water loss? 

Հայաստանյան ցայտաղբյուրները միասին տարեկան կորցնում են 240 միլիոն խմ ջուր։ Ի՞նչ կարծիքի եք ջրի կորստի քանակի մասին: ","Do you think there is a problem? If yes, what kind of challenges do you foresee and how to mitigate them?

Ի՞նչ եք կարծում, խնդիր կա՞։ Եթե այո, ապա ինչպիսի՞ խոչընդոտներ կան և ինչպե՞ս մեղմել դրանք:","Which is the pulpulak in Yerevan that has the tastiest water?  

Երևանյան ո՞ր ցայտաղբյուրն ունի ամենահամեղ ջուրը։","How do you think water in Armenia is priced?  (The cost for 1m^3 is about 200 AMD)

Ի՞նչ կարծիքի եք Հայաստանում ջրի սակագնի մասին: (1 մ^3 արժեքը մոտ 200 դր է)"
"2023/11/30 5:56:04 PM GMT+4","Normal / Միջին","I think that this number is huge and the problem is that Armenians do not use the water properly and I think if the pulpulaks had valve, this loss would be less.","Yes, the problem is that we use more water then water manages to be filtered so this may result in lack of drinking water.","Pulpulak in Northern Avenue","Reasonable / Խելամիտ"
"2023/11/30 5:59:45 PM GMT+4","Bad / Վատ","Chapazanc shat","Ayo pakanov pulupulak vor bacvi erb petka dzmernere pakel vor chsari trubanere chpchana","Mer hayati","Reasonable / Խելամիտ"
"2023/11/30 6:04:09 PM GMT+4","Normal / Միջին","even though water is not a scarce resource, it’s not normal to use the resource in such an irresponsible way","lack of clean water","the one on the crossroad of Alek Manukyan and Sayat Nova streets","Reasonable / Խելամիտ"
"2023/11/30 6:07:44 PM GMT+4","Good / Լավ","Շատ տխուր ա","Չկան, գոհ ենք","Հրապարակինը","Expensive / Թանկ"
"2023/11/30 6:11:15 PM GMT+4","Good / Լավ","Ջրի ցավալի կորուստ, որին դեռևս պատշաճ ուշադրություն չեն դարձնում","կարամ ռուսերեն պատասխանեմ?","Պռոշյանի վրինը ","Reasonable / Խելամիտ"
"2023/11/30 6:11:41 PM GMT+4","Normal / Միջին","Նետրալ","Ձմեռը ջուր չկա, խողովակները սառում են ","Բոլորը","Reasonable / Խելամիտ"
"2023/11/30 6:12:16 PM GMT+4","Very good/ Շատ լավ","Շատ վատ կարծիքի!","Օգտագործել դրանք որպես որոգման ջուր մոտակա տարածքների համար:","Հրապարակի էն Pizza Di Roma ի դեմի մի հատանոց պուլպուլակը, լավ էլ սառն ա! ու համով!","Cheap / Մատչելի"
"2023/11/30 6:12:31 PM GMT+4","Normal / Միջին","waste","no","Avan","Cheap / Մատչելի"
"2023/11/30 6:12:35 PM GMT+4","Normal / Միջին","-","I don’t think there is a problem until I have a relevant data to compare analyze and understand how but or impactful it is. ","Idk honestly I saw a reel it said in Nubarashen it’s good and in the republic square it’s alright.","Reasonable / Խելամիտ"
"2023/11/30 6:16:50 PM GMT+4","Good / Լավ","shata ","Arji krantner dnel pulpulakneri vra ","Himnakanum nuynnen","Reasonable / Խելամիտ"
